categorie,partenaire,nom_commune,description,url_facebook,url_website
MAISON_INTERIEUR_EXTERIEUR,VINTAGE & DESIGN,NOUMEA,Meubles et tout l’univers de la maison. Commandes spécifiques pour les architectes d’intérieur.,https://www.facebook.com/vintageanddesign.nc/,
MAISON_INTERIEUR_EXTERIEUR,XIMI VOGUE,NOUMEA,"Superstore Lifestyle ! 💕 Déco, bureau, accessoires mode & beauté",https://www.facebook.com/ximivoguenc/,
VOYAGE_HOTEL,BETICO,"NOUMEA,LIFOU,MARE,OUVEA,ILE DES PINS",La société Sudiles assure plusieurs voyages hebdomadaires sur l'Ile des Pins et les Iles Loyauté,https://www.facebook.com/@betico.nc/,
VOYAGE_HOTEL,GÎTE LEZARD HOME,PAITA,Hébergement chez l'habitant niché au pied du Mont mou. Venez lézarder au Lézard Home dans nos chambres au son des oiseaux et des grenouilles. Connexion à la nature. Des stages sur le thème NATURE sont organisés.,https://www.facebook.com/GiteLezardhomeNC/?locale=fr_FR,
VOYAGE_HOTEL,HÔTEL BEAURIVAGE,NOUMEA,"L’Hôtel Beaurivage, à la baie des Citrons",https://www.facebook.com/HotelBeaurivageNC/?locale=fr_FR,
VOYAGE_HOTEL,HÔTEL DU CENTRE,NOUMEA,"Votre nouvel hôtel d'affaires vous accueille dans un espace qui associe fonctionnalité et convivialité au coeur de Ducos Le Centre, la plus grande zone économique de Nouméa.",https://www.facebook.com/hotelducentrenc/?locale=fr_FR,
VOYAGE_HOTEL,HÔTEL KOULNOUE VILLAGE,HIENGHENE,"Le Koulnoué Village est situé prés de Hienghène, dans le cadre enchanteur d’une cocoteraie, en bord de mer.",https://www.facebook.com/HotelKoulnoueVillage/?locale=fr_FR,
VOYAGE_HOTEL,HÔTEL LE LAGON,NOUMEA,"Hôtel avec deux types de chambres : Studio et Suite une chambre. Piscine; spa pool, salle de fitness, tennis club, parking privé, restaurant pour le petit déjeuner, institut de beauté. Nouveau la suite Prestige avec spa-pool privatif.",https://www.facebook.com/lelagonnoumea/?locale=fr_FR,
VOYAGE_HOTEL,HÔTEL LE MERIDIEN,"NOUMEA,ILE DES PINS",Méridien Noumea Resort & Spa.,https://www.facebook.com/lemeridiennoumea/?locale=fr_FR,
VOYAGE_HOTEL,HÔTEL MALABOU BEACH,POUM,"Situé à l'extrême nord de la Grande Terre, le Malabou Beach s'étire le long d'une somptueuse plage nichée au fond de la baie de Néhoué.",https://www.facebook.com/HotelMalabouBeach/?locale=fr_FR,
